Building Name,#,City,Column1,Completed,Floors,Height (ft),Height (m),Material,Use
Eton Place Dalian Tower 1,24,Dalian (CN),"",2016,80,1257,383.1,composite,hotel / office
Shun Hing Square,23,Shenzhen (CN),"",1996,69,1260,384,composite,office
CITIC Plaza,22,Guangzhou (CN),"",1996,80,1280,390.2,concrete,office
23 Marina,21,Dubai (AE),"",2012,88,1287,392.4,concrete,residential
Two International Finance Centre,20,Hong Kong (CN),"",2003,88,1352,412,composite,office
Al Hamra Tower,19,Kuwait City (KW),"",2011,80,1354,412.6,concrete,office
Princess Tower,18,Dubai (AE),"",2012,101,1356,413.4,steel/concrete,residential
Jin Mao Tower,17,Shanghai (CN),"",1999,88,1380,420.5,composite,hotel / office
Trump International Hotel & Tower,16,Chicago (US),"",2009,98,1389,423.2,concrete,residential / hotel
432 Park Avenue,15,New York City (US),"",2015,85,1396,425.5,concrete,residential
Guangzhou International Finance Center,14,Guangzhou (CN),"",2010,103,1439,438.6,composite,hotel / office
KK100,13,Shenzhen (CN),"",2011,100,1449,441.8,composite,hotel / office
Willis Tower,12,Chicago (US),"",1974,108,1451,442.1,steel,office
Zifeng Tower,11,Nanjing (CN),"",2010,66,1476,450,composite,hotel / office
Petronas Twin Tower 1,9,Kuala Lumpur (MY),"",1998,88,1483,451.9,composite,office
Petronas Twin Tower 2,9,Kuala Lumpur (MY),"",1998,88,1483,451.9,composite,office
International Commerce Centre,8,Hong Kong (CN),"",2010,108,1588,484,composite,hotel / office
Shanghai World Financial Center,7,Shanghai (CN),"",2008,101,1614,492,composite,hotel / office
TAIPEI 101,6,Taipei (TW),"",2004,101,1667,508,composite,office
Guangzhou CTF Finance Centre,5,Guangzhou (CN),"",2016,111,1739,530,composite,hotel / residential / office
One World Trade Center,4,New York City (US),"",2014,94,1776,541.3,composite,office
Makkah Royal Clock Tower,3,Mecca (SA),"",2012,120,1972,601,steel/concrete,other / hotel
Shanghai Tower,2,Shanghai (CN),"",2015,128,2073,632,composite,hotel / office
Burj Khalifa,1,Dubai (AE),"",2010,163,2717,828,steel/concrete,office / residential / hotel
