Building[A][9],Built,City,Country,Floors,Height (ft),Height (m)[3],Rank
OKO Tower - South Tower,2015,Moscow,Russia,85,"1,160 ft",354 m,43
One World Trade Center,2014,New York City,United States,104,"1,776 ft",541 m,6
One57,2013,New York City,United States,75,"1,004 ft",306 m,105
Pearl River Tower,2013,Guangzhou,China,71,"1,016 ft",310 m,96
Petronas Tower 1,1998,Kuala Lumpur,Malaysia,88,"1,483 ft",452 m,11
Petronas Tower 2,1998,Kuala Lumpur,Malaysia,88,"1,483 ft",452 m,11
Ping An Finance Centre,2016,Shenzhen,China,115,"1,969 ft",600 m,4
Princess Tower,2012,Dubai,UAE,101,"1,358 ft",414 m,22
Q1,2005,Gold Coast,Australia,80,"1,058 ft",323 m,78
Rose Tower,2007,Dubai,UAE,72,"1,093 ft",333 m,63
Ryugyong Hotel,1992,Pyongyang,North Korea,105,"1,083 ft",330 m,65
Shanghai Tower,2015,Shanghai,China,128,"2,073 ft",632 m,2
Shanghai World Financial Center,2008,Shanghai,China,101,"1,614 ft",492 m,9
Shenzhen CFC Changfu Centre,2016,Shenzhen,China,68,997 ft,304 m,111
Shenzhen Zhongzhou Holdings Financial Center Tower A,2014,Shenzhen,China,61,984 ft,301 m,126
Shimao International Plaza,2005,Shanghai,China,61,"1,094 ft",333 m,62
Shun Hing Square,1996,Shenzhen,China,69,"1,260 ft",384 m,28
Sinar Mas Center 1,2016,Shanghai,China,66,"1,048 ft",320 m,82
Stalnaya Vershina,2015,Moscow,Russia,72,"1,013 ft",309 m,99
Taipei 101,2004,Taipei,Taiwan,101,"1,670 ft",509 m,8
The Address Downtown Burj Khalifa,2008,Dubai,UAE,63,991 ft,302 m,123
The Address the BLVD,2016,Dubai,UAE,72,"1,207 ft",368 m,36
The Center,1998,Hong Kong,China,73,"1,135 ft",346 m,50
The Index,2010,Dubai,UAE,80,"1,070 ft",326 m,73
The Landmark,2012,Abu Dhabi,UAE,72,"1,063 ft",324 m,75
The Marina Torch,2011,Dubai,UAE,86,"1,155 ft",352 m,44
The Pinnacle,2012,Guangzhou,China,60,"1,150 ft",350 m,46
The Shard,2012,London,United Kingdom,73,"1,004 ft",306 m,105
The Wharf Times Square,2014,Wuxi,China,68,"1,112 ft",339 m,54
